sku,title,current_price,category,cogs,est_units
WH-4821,Premium Wireless Headphones,79.99,Electronics,28.00,150
KB-2201,Mechanical Keyboard,129.99,Electronics,45.00,80
MS-0934,Ergonomic Mouse,49.99,Electronics,15.00,200
SC-1102,7-Port USB-C Hub,39.99,Electronics,12.00,300
SP-0011,Portable Bluetooth Speaker,59.99,Electronics,18.00,120
LP-3301,Laptop Stand Aluminium,34.99,Accessories,10.00,250
CB-7712,Braided USB-C Cable 2m,12.99,Accessories,3.50,500
WC-5501,Wireless Charger Pad,24.99,Electronics,8.00,180
HB-8821,Noise Cancelling Earbuds,89.99,Electronics,32.00,90
MN-4410,Monitor Light Bar,45.99,Accessories,14.00,110
